name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,id,filename,url,status,description
"HEMIZA Jawline Exerciser Jaw, Face, and Neck Exerciser - Define Your Jawline, Slim and Tone Your Face, Look Younger and He...",beauty & health,Beauty & Grooming,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61bYDE+DbbL._AC_UL320_.jpg,https://www.amazon.in/HEMIZA-Jawline-Exerciser-Face-Neck/dp/B09T3DVJ79/ref=sr_1_13250?qid=1679215052&s=beauty&sr=1-13250,4.6,14,₹199,₹499,685435,HEMIZA-Jawline-Exerciser-Face-Neck_dp_B09T3DVJ79.html,https://www.amazon.in/HEMIZA-Jawline-Exerciser-Face-Neck/dp/B09T3DVJ79,200,"About this item
This jaw exerciser  neck tightening devices is made of high quality material and free food grade silicone to ensure safety Our double chin reducer consists of the same material as a baby pacifier The polyurethane bite strip allows a custom shape for your mouth allowing you to easily adjust the shape and oral cavity
Enhance Your Jawline and Say goodbye to double chin Perfect Jawline exerciser and loose facial muscles Look Younger and Better with A Chiseled Jawline This Jaw Exerciser will strengthen your face Look younger by using our Jaw workout Jaw toner see effects in as less as 2 weeks
jaw exerciser offers you a handsfree with our revolutionary technology this Jawline Trainer is a Powerful Face Flex Facial Exerciser Our Jawline Exerciser is very easy and convenient to carry Toning Exerciser Can Tighten Your Face fat removal exercise for the sharp and defined jawline of your dreams It comes with a neck string so that you can hang it in your neck and use it anywhere you want whether it is gym or a workplace
Jaw trainer is small convenient to carry with the additional neck string provided and a sports equipment that can be trained anytime and anywhere Comfortable easy to carry handsfree exercises can be used when going out use it in the gym office or on the go
Do chin exercises every day to strengthen the muscles around your chin and muscles and relieve pain and promote healthy sleep cycles At least 30 to 40 repetitions and then three sets per day It will give result within 34 weeks You can literally workout whenever and wherever you want

See more product details"
Reebok Men Shorts,sports & fitness,Yoga,https://m.media-amazon.com/images/I/91Zr1NG2xyL._AC_UL320_.jpg,https://www.amazon.in/Reebok-Mens-Shorts-Ga2114_7-Batik/dp/B097C6DQ1J/ref=sr_1_3069?qid=1679217892&s=sports&sr=1-3069,4.6,9,"₹1,202.78","₹2,999",681662,Reebok-Men-Shorts_dp_B0B6P1FSJ7.html,https://www.amazon.in/Reebok-Men-Shorts/dp/B0B6P1FSJ7,200,Reebok designs manufactures distributes and sells fitness running and crossfit sportswear including clothing and footwear The clothing line includes tshirts hoodies jackets and pants among other items
Victor VS865 CF All-Around Series Professional Badminton Shoe,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/61lrVLsVe+S._AC_UL320_.jpg,https://www.amazon.in/Victor-VS865-All-Around-Professional-Numeric_11/dp/B091J69DSJ/ref=sr_1_9280?qid=1679147519&s=shoes&sr=1-9280,,,,"₹3,825",588243,Victor-VS865-All-Around-Professional-Numeric_11_dp_B091J69DSJ_ref=sr_1_9280.html,https://www.amazon.in/Victor-VS865-All-Around-Professional-Numeric_11/dp/B091J69DSJ/ref=sr_1_9280,200,Victor Technologies  Energymax Radiation Breathing
"ZeeKart Reflective Wheel Rim Waning Sagefty Sticker Decal for Car, Bike, Mptorcycle & Cycle (Set of 20 | Colour: Flurocent...",car & motorbike,Motorbike Accessories & Parts,https://m.media-amazon.com/images/I/61S0W8osaIL._AC_UL320_.jpg,https://www.amazon.in/ZeeKart-Reflective-Sagefty-Sticker-Mptorcycle/dp/B0BD5GYKCK/ref=sr_1_9472?qid=1679221873&s=automotive&sr=1-9472,2.7,6,₹299,₹599,845496,ZeeKart-Reflective-Sagefty-Sticker-Mptorcycle_dp_B0BD5GYKCK.html,https://www.amazon.in/ZeeKart-Reflective-Sagefty-Sticker-Mptorcycle/dp/B0BD5GYKCK,200,"About this item
ENHANCED SAFETY Superior reflective performance good wideangle performance Automotive reflective stickers offers evening enhanced safety without detracting from the daytime aesthetic of the vehicleSo it can improve your vehicle safetyMade of PET for your car motorcycles trailers etcIt is conformable to uneven surfaces so it will and conform better than other films
EASY TO REMOVE Easy to stick it on post or around your vehicle because of good pasting performanceAfter sticking it press it moderately make sure there is no air between the reflective sticker and the bonding position
APPLICATIONMainly for the road transport facilities vehicles bikes bicycles cars motorcycles ships fairways stage a variety of channels and related mechanical equipmentand virtually anything else that may require enhanced visibility
HOW IT WORKS Please make sure there is no or dust and must be dry before stickingTry not to touch the back glue a onetime laminating do not repeatedly moveAfter sticking it press it moderately make sure there is no air between the reflective sticker and the bonding position
Notice Actual color may be slightly different from the image due to different monitor and light effect Please allow 13cm deviation due to manual measurement

See more product details"
United Colors of Benetton Men's Regular Fit Shirt,men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91wRiT-oZaL._AC_UL320_.jpg,https://www.amazon.in/United-Colors-Benetton-Striped-203759704_Grey_S/dp/B07BN12GR9/ref=sr_1_16521?qid=1679140633&s=apparel&sr=1-16521,3.4,15,₹719,"₹2,399",1011156,United-Colors-Benetton-Striped-Regular_dp_B0FJ2NBNM1.html,https://www.amazon.in/United-Colors-Benetton-Striped-Regular/dp/B0FJ2NBNM1,200,Grindle pencil striped polo A slim fit stripe casual flatknit tshirt with short sleeve and polo neck
Voltas Venture Slimline Tower AC (3 Ton White),appliances,Heating & Cooling Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31jhpl4GmPL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Venture-Slimline-Tower-Ton/dp/B00LWRFNWK/ref=sr_1_8406?qid=1679135516&s=kitchen&sr=1-8406,3.2,5,"₹99,750","₹1,28,900",382919,Voltas-Venture-Slimline-Tower-Ton_dp_B00LWRFNWK.html,https://www.amazon.in/Voltas-Venture-Slimline-Tower-Ton/dp/B00LWRFNWK,200,"About this item
Installation Amazon will connect with you via Email and SMS on your registered mobile number to share the next steps for Installation In case you need any assistance please reach out to us on our Toll Free Number 180030009027
Venture slimline Tower AC 3 ton capacity
1 year warranty on product 5 years warranty on compressor
Rated current 68 AvgPh Amps Compressor type Scroll Indoor air flow HiMiLo CMH 1900 Indoor packing dimension W X H X D 770 mm X 2040 mm X 445 mm Indoor net weight 60 Kg
Outdoor air flow CMH 3500 Outdoor unit dimension W X H X D 900 mm x 700 mm x 360 mm Packing dimension W X H X D 960 mm x 750 mm x 395 mm Net weight 58 Kg Refrigerant type R22
Stylish design The compact size superior style and aesthetics suit the most sophisticated interiors

See more product details"
"ZINROX® 37-58mm Step Up Lens Filter Adapter Ring, Set of 1 Piece - Size : 37mm to 58mm Stepping Ring","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51fXxSqiSnL._AC_UL320_.jpg,https://www.amazon.in/ZINROX%C2%AE-37-58mm-Filter-Adapter-Piece/dp/B0BR3VCMKL/ref=sr_1_7099?qid=1679132954&s=electronics&sr=1-7099,,,₹359,₹702,694686,ZINROX%C2%AE-37-58mm-Filter-Adapter-Piece_dp_B0BR3VCMKL.html,https://www.amazon.in/ZINROX%C2%AE-37-58mm-Filter-Adapter-Piece/dp/B0BR3VCMKL,200,"Condition New
Material  100 percent Aluminium Alloy Metal Body
Packing includes 1 piece only
37mm Male Thread  58mm  Female Thread
It helps you to attach 58mm thread to 37mm 3758mm step up ring filter 

See more product details"
WELBORN Camera Battery Charger for Sony NP-BX1 Battery,"tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71bLMTqC97L._AC_UL320_.jpg,https://www.amazon.in/WELBORN-Camera-Battery-Charger-NP-BX1/dp/B08GFSZ974/ref=sr_1_1063?qid=1679132614&s=electronics&sr=1-1063,4.3,15,₹599,₹700,688653,WELBORN-Camera-Battery-Charger-NP-BX1_dp_B08GFSZ974.html,https://www.amazon.in/WELBORN-Camera-Battery-Charger-NP-BX1/dp/B08GFSZ974,200,"About this item
Universal Compatibility The WELBORN Camera Battery Charger works seamlessly with both Sony NPBX1 and NPBX1M8 batteries offering the ultimate versatility for your Sony CyberShot DSCRX100 series cameras
Continuous Shooting Power Dont let a drained battery limit your creativity With this charger your camera stays charged allowing you to shoot without interruptions whether youre exploring distant landscapes or capturing candid moments
Fast Charging The charger provides a swift and efficient power boost to your NPBX1 battery ensuring you can maximize your shooting time and minimize downtime
Compact and Portable Designed with mobility in mind this charger is lightweight and easy to carry making it a perfect travel companion for photographers on the move
Builtin Safety Measures Your cameras wellbeing is a priority The WELBORN Charger incorporates multiple safety features including protection against overcharging and short circuits ensuring your camera and battery remain in peak condition

See more product details"
INLAZER-Men Hidden Height Increasing Faux Leather Material Formal Crocodile Style Lace-Up Boots on Cuban Sole Tan,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71lLnYj+FUL._AC_UL320_.jpg,https://www.amazon.in/INLAZER-Men-Increasing-Leather-Material-Crocodile/dp/B0BH4S7Y87/ref=sr_1_12104?qid=1679148344&s=shoes&sr=1-12104,,,"₹2,499","₹4,999",804924,INLAZER-Men-Increasing-Leather-Material-Crocodile_dp_B0BH4S7Y87.html,https://www.amazon.in/INLAZER-Men-Increasing-Leather-Material-Crocodile/dp/B0BH4S7Y87,200,Complete your look with this stylish pair of shoes from the house of INLAZER Made from good quality material this pair will keep your feet comfortable Featuring a stylish design this pair is sure to grab attention Look taller with height increasing boots from INLAZER
blk adid,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61RZRJZ1zzL._AC_UL320_.jpg,https://www.amazon.in/Generic-skd-blk-add-Numeric_8/dp/B0BCP29TB1/ref=sr_1_18027?qid=1679149281&s=shoes&sr=1-18027,,,₹999,"₹2,499",87043,Generic-skd-blk-add-adid_dp_B0BCP56T4G.html,https://www.amazon.in/Generic-skd-blk-add-adid/dp/B0BCP56T4G,200,imported look and best design shoes for hangout and jim purpose
